date,username,niche,source_query,status,notes
2026-07-21,luxhomme_official,техника для дома (платят 1500/ролик),ищем UGC-креаторов,sent,
2026-07-21,shtorlis,текстиль/шторы (бартер),ищем UGC-креаторов,sent,
2026-07-21,trend_island,мода Москва,ищем UGC-креаторов,sent,
2026-07-21,white.group_official,бытовая химия White Group,ищем UGC-креаторов,sent,сами зовут в директ
2026-07-21,youshou.nature,витамины/БАДы Москва,ищем UGC-креаторов,sent,
2026-07-21,mizdes.club,загородный клуб СПб,ищем UGC-креаторов,sent,контакт @kane.nocte
2026-07-21,pinstudio_31.12,студия/обувь амбассадоры,ищем UGC-креаторов,sent,
2026-07-21,thai_kiki_kzn,спа Казань,ищем UGC-креаторов,sent,
2026-07-21,lovi_beri,ЛовиБери,ищем UGC-креаторов,sent,
2026-07-21,port_comfort,апарт-отели СПб,ищем UGC-креаторов,sent,
2026-07-21,ginali.wear,одежда,ищем UGC-креаторов,sent,из комментария «мы тоже в поисках»
2026-07-21,vremyazvesti,домашний текстиль «Время цвести»,ищем UGC-креаторов,sent,
2026-07-21,weareand.plus,бьюти/аксессуары &+,ищем UGC-креаторов,sent,
2026-07-21,reloc_yerevan,коллаборации Ереван,ищем UGC-креаторов,sent,
2026-07-21,again8.ru,бельё AGAIN,ищем UGC-креаторов,sent,
2026-07-21,airis_clo,одежда AIRISCLO,ищем UGC-креаторов,skip,просили не писать в директ по поводу креаторов
